Cell,Threshold,Patches,Cross_Area
20200904_MKY4282_07_Cell04_GFP,yen,28,2649
20200904_MKY4282_07_Cell05_GFP,yen,19,3185
20200904_MKY4282_07_Cell06_GFP,yen,32,2916
20200904_MKY4282_08_Cell01_GFP,yen,25,4531
20200904_MKY4282_08_Cell02_GFP,yen,22,3732
20200904_MKY4282_08_Cell03_GFP,yen,22,3409
20200904_MKY4282_09_Cell01_GFP,yen,20,3432
20200904_MKY4282_09_Cell02_GFP,yen,17,2383
20200904_MKY4282_09_Cell03_GFP,yen,18,2542
20200904_MKY4282_10_Cell01_GFP,yen,24,2922
20200904_MKY4282_10_Cell02_GFP,yen,21,3193
20200904_MKY4282_10_Cell03_GFP,yen,29,2966
20200904_MKY4282_10_Cell04_GFP,yen,20,2237
20200904_MKY4282_10_Cell05_GFP,yen,21,2517
20200904_MKY4282_11_Cell01_GFP,yen,15,2915
20200904_MKY4282_11_Cell02_GFP,yen,15,2514
20200904_MKY4282_11_Cell03_GFP,yen,17,3447
20200904_MKY4282_11_Cell04_GFP,yen,29,3200
20200904_MKY4282_12_Cell01_GFP,yen,19,2899
20200904_MKY4282_12_Cell02_GFP,yen,21,2988
20200904_MKY4282_12_Cell03_GFP,yen,22,3545
20200904_MKY4282_13_Cell01_GFP,yen,34,3975
20200904_MKY4282_13_Cell02_GFP,yen,19,2767
20200904_MKY4282_13_Cell03_GFP,yen,15,3202
20200904_MKY4282_14_Cell01_GFP,yen,18,3434
20200904_MKY4282_14_Cell02_GFP,yen,17,2641
20200904_MKY4282_14_Cell03_GFP,yen,19,2074
20200904_MKY4282_14_Cell04_GFP,yen,25,3301
20200904_MKY4282_14_Cell05_GFP,yen,20,2459
20200904_MKY4282_14_Cell06_GFP,yen,25,3830
20200904_MKY4282_15_Cell01_GFP,yen,27,3284
20200904_MKY4282_15_Cell02_GFP,yen,32,3287
20200904_MKY4282_15_Cell03_GFP,yen,32,3241
20200904_MKY4282_16_Cell01_GFP,yen,20,3453
20200904_MKY4282_16_Cell02_GFP,yen,22,2238
20200904_MKY4282_16_Cell03_GFP,yen,31,3654
20200904_MKY4282_16_Cell04_GFP,yen,17,3170
20200904_MKY4282_17_Cell01_GFP,yen,20,2930
20200904_MKY4282_17_Cell02_GFP,yen,33,4166
20200904_MKY4282_17_Cell03_GFP,yen,28,2723
20200904_MKY4282_18_Cell01_GFP,yen,22,3184
20200904_MKY4282_18_Cell02_GFP,yen,14,3543
20200904_MKY4282_18_Cell03_GFP,yen,27,2912
20200904_MKY4282_18_Cell04_GFP,yen,28,2728
20200904_MKY4291_01_Cell01_GFP,yen,19,2430
20200904_MKY4291_01_Cell02_GFP,yen,25,2243
20200904_MKY4291_01_Cell03_GFP,yen,23,2297
20200904_MKY4291_01_Cell04_GFP,yen,23,2297
20200904_MKY4291_01_Cell05_GFP,yen,22,3184
20200904_MKY4291_02_Cell01_GFP,yen,20,3198
20200904_MKY4291_02_Cell02_GFP,yen,14,2465
20200904_MKY4291_02_Cell03_GFP,yen,17,3513
20200904_MKY4291_02_Cell04_GFP,yen,8,2392
20200904_MKY4291_03_Cell01_GFP,yen,25,2573
20200904_MKY4291_03_Cell02_GFP,yen,11,2397
20200904_MKY4291_03_Cell03_GFP,yen,23,2334
20200904_MKY4291_03_Cell04_GFP,yen,18,2550
20200904_MKY4291_03_Cell05_GFP,yen,28,2707
20200904_MKY4291_03_Cell06_GFP,yen,10,1828
20200904_MKY4291_03_Cell07_GFP,yen,16,2819
20200904_MKY4291_04_Cell01_GFP,yen,13,2583
20200904_MKY4291_04_Cell02_GFP,yen,20,3254
20200904_MKY4291_04_Cell03_GFP,yen,21,2701
