"dataset","date","strain","movie","cell","patches","cross_area","area","density","ede1"
"2","20201018","MKY4291","06","Cell04","12","2643"," 44.0","0.2728","Snf5"
"2","20201018","MKY4291","06","Cell05","19","5549"," 92.3","0.2058","Snf5"
"2","20201018","MKY4291","06","Cell06","20","3320"," 55.2","0.3620","Snf5"
"2","20201018","MKY4291","07","Cell01","20","3176"," 52.9","0.3784","Snf5"
"2","20201018","MKY4291","07","Cell02","24","3607"," 60.0","0.3998","Snf5"
"2","20201018","MKY4291","07","Cell04","24","4802"," 79.9","0.3003","Snf5"
"2","20201018","MKY4291","07","Cell05","32","4082"," 67.9","0.4711","Snf5"
"2","20201018","MKY4291","07","Cell06","18","3958"," 65.9","0.2733","Snf5"
"2","20201018","MKY4291","08","Cell01","19","3003"," 50.0","0.3802","Snf5"
"2","20201018","MKY4291","08","Cell02","17","3719"," 61.9","0.2747","Snf5"
"2","20201018","MKY4291","08","Cell03","27","3278"," 54.5","0.4950","Snf5"
"2","20201018","MKY4291","09","Cell01","23","3340"," 55.6","0.4138","Snf5"
"2","20201018","MKY4291","09","Cell02","17","2051"," 34.1","0.4981","Snf5"
"2","20201018","MKY4291","09","Cell03","25","3345"," 55.7","0.4491","Snf5"
"2","20201018","MKY4291","09","Cell04","13","4139"," 68.9","0.1887","Snf5"
"2","20201018","MKY4291","10","Cell01","25","3044"," 50.7","0.4935","Snf5"
"2","20201018","MKY4291","10","Cell02","19","3578"," 59.5","0.3191","Snf5"
"2","20201018","MKY4291","10","Cell03","27","3154"," 52.5","0.5144","Snf5"
"2","20201018","MKY4291","10","Cell04","19","2763"," 46.0","0.4132","Snf5"
"2","20201018","MKY4291","10","Cell05","25","3518"," 58.5","0.4270","Snf5"
"2","20201018","MKY4291","11","Cell01","15","3021"," 50.3","0.2984","Snf5"
"2","20201018","MKY4291","11","Cell02","22","2850"," 47.4","0.4639","Snf5"
"2","20201018","MKY4291","11","Cell03","27","3412"," 56.8","0.4755","Snf5"
"2","20201018","MKY4291","11","Cell04","32","2964"," 49.3","0.6488","Snf5"
"2","20201018","MKY4291","12","Cell01","25","2710"," 45.1","0.5544","Snf5"
"2","20201018","MKY4291","12","Cell02","21","3841"," 63.9","0.3285","Snf5"
"2","20201018","MKY4291","12","Cell03","26","3139"," 52.2","0.4977","Snf5"
"2","20201018","MKY4291","12","Cell04","16","2973"," 49.5","0.3234","Snf5"
"2","20201018","MKY4291","12","Cell05","13","3815"," 63.5","0.2048","Snf5"
"2","20201018","MKY4291","12","Cell06","23","3509"," 58.4","0.3939","Snf5"
"2","20201018","MKY4291","13","Cell01","19","2695"," 44.8","0.4237","Snf5"
"2","20201018","MKY4291","13","Cell02","18","2850"," 47.4","0.3795","Snf5"
"2","20201018","MKY4291","13","Cell04","26","3393"," 56.5","0.4605","Snf5"
"2","20201018","MKY4291","13","Cell05","16","3115"," 51.8","0.3087","Snf5"
"2","20201018","MKY4291","14","Cell01","24","3025"," 50.3","0.4768","Snf5"
"2","20201018","MKY4291","14","Cell02","16","3004"," 50.0","0.3201","Snf5"
"2","20201018","MKY4291","14","Cell03","21","2752"," 45.8","0.4586","Snf5"
"2","20201018","MKY4291","14","Cell04","22","3217"," 53.5","0.4110","Snf5"
"2","20201018","MKY4291","14","Cell05","20","4940"," 82.2","0.2433","Snf5"
"2","20201018","MKY4291","15","Cell01","22","4056"," 67.5","0.3259","Snf5"
"2","20201018","MKY4291","15","Cell02","28","3909"," 65.0","0.4304","Snf5"
"2","20201018","MKY4291","15","Cell03","16","2950"," 49.1","0.3259","Snf5"
"2","20201018","MKY4291","15","Cell04","20","3084"," 51.3","0.3897","Snf5"
"2","20201018","MKY4291","15","Cell05","20","2108"," 35.1","0.5701","Snf5"
"2","20201018","MKY4291","16","Cell01","23","3526"," 58.7","0.3920","Snf5"
"2","20201018","MKY4291","16","Cell02","16","3205"," 53.3","0.3000","Snf5"
"2","20201018","MKY4291","16","Cell03","18","3568"," 59.4","0.3032","Snf5"
"2","20201018","MKY4291","17","Cell01","24","3105"," 51.7","0.4645","Snf5"
"2","20201018","MKY4291","17","Cell02","18","3797"," 63.2","0.2849","Snf5"
"2","20201018","MKY4291","18","Cell01","18","4867"," 81.0","0.2222","Snf5"
"2","20201018","MKY4291","18","Cell02","20","3189"," 53.1","0.3769","Snf5"
"2","20201018","MKY4291","18","Cell03","25","3440"," 57.2","0.4367","Snf5"
"2","20201018","MKY4291","18","Cell04","20","2992"," 49.8","0.4017","Snf5"
"3","20210527","MKY0140","01","Cell01","24","2726"," 45.4","0.5291","EDE1"
"3","20210527","MKY0140","01","Cell02","34","2736"," 45.5","0.7468","EDE1"
