Cell,Threshold,Patches,Cross_Area
20200809_MKY4343_24_Cell01_GFP,yen,9,2769
20200809_MKY4343_24_Cell02_GFP,yen,4,3263
20200809_MKY4343_24_Cell03_GFP,yen,31,3521
20200809_MKY4343_24_Cell04_GFP,yen,17,2300
20200909_MKY0140_01_Cell01_GFP,yen,28,2395
20200909_MKY0140_01_Cell02_GFP,yen,29,2821
20200909_MKY0140_01_Cell03_GFP,yen,26,2176
20200909_MKY0140_01_Cell04_GFP,yen,31,2485
20200909_MKY0140_01_Cell05_GFP,yen,23,4188
20200909_MKY0140_02_Cell01_GFP,yen,30,3174
20200909_MKY0140_02_Cell02_GFP,yen,24,2507
20200909_MKY0140_02_Cell03_GFP,yen,16,3044
20200909_MKY0140_02_Cell04_GFP,yen,28,3099
20200909_MKY0140_02_Cell05_GFP,yen,18,3072
20200909_MKY0140_02_Cell06_GFP,yen,32,3283
20200909_MKY0140_03_Cell01_GFP,yen,19,2737
20200909_MKY0140_03_Cell02_GFP,yen,22,2084
20200909_MKY0140_03_Cell03_GFP,yen,25,3611
20200909_MKY0140_03_Cell04_GFP,yen,38,3042
20200909_MKY0140_03_Cell05_GFP,yen,29,3688
20200909_MKY0140_03_Cell06_GFP,yen,29,4599
20200909_MKY0140_04_Cell01_GFP,yen,39,3355
20200909_MKY0140_04_Cell02_GFP,yen,18,2542
20200909_MKY0140_04_Cell03_GFP,yen,27,3161
20200909_MKY0140_05_Cell01_GFP,yen,27,3217
20200909_MKY0140_05_Cell02_GFP,yen,24,3183
20200909_MKY0140_05_Cell03_GFP,yen,33,3575
20200909_MKY0140_06_Cell01_GFP,yen,26,3630
20200909_MKY0140_06_Cell02_GFP,yen,16,2558
20200909_MKY0140_06_Cell03_GFP,yen,30,3409
20200909_MKY0140_06_Cell04_GFP,yen,24,2562
20200909_MKY0140_06_Cell05_GFP,yen,20,2244
20200909_MKY0140_06_Cell06_GFP,yen,25,3814
20200909_MKY0140_07_Cell01_GFP,yen,25,3284
20200909_MKY0140_07_Cell02_GFP,yen,34,2721
20200909_MKY0140_07_Cell03_GFP,yen,38,2947
20200909_MKY0140_08_Cell01_GFP,yen,38,3399
20200909_MKY0140_08_Cell02_GFP,yen,22,2143
20200909_MKY0140_08_Cell03_GFP,yen,8,1720
20200909_MKY0140_08_Cell04_GFP,yen,8,1749
20200909_MKY0140_08_Cell05_GFP,yen,34,3245
20200909_MKY0140_08_Cell06_GFP,yen,29,4271
20200909_MKY0140_08_Cell07_GFP,yen,24,3896
20200909_MKY0140_09_Cell01_GFP,yen,43,3578
20200909_MKY0140_09_Cell02_GFP,yen,25,2983
20200909_MKY0140_09_Cell03_GFP,yen,33,2724
20200909_MKY0140_09_Cell04_GFP,yen,33,2882
20200909_MKY0140_09_Cell05_GFP,yen,29,3594
20200909_MKY0140_10_Cell01_GFP,yen,26,3183
20200909_MKY0140_10_Cell02_GFP,yen,26,2810
20200909_MKY0140_10_Cell03_GFP,yen,24,3389
20200909_MKY0140_10_Cell04_GFP,yen,20,2204
20200909_MKY0140_11_Cell01_GFP,yen,29,2839
20200909_MKY0140_11_Cell02_GFP,yen,21,3003
20200909_MKY0140_11_Cell03_GFP,yen,21,2078
20200909_MKY0140_11_Cell04_GFP,yen,32,3221
20200909_MKY0140_11_Cell05_GFP,yen,26,2769
20200909_MKY0140_12_Cell01_GFP,yen,23,2912
20200909_MKY0140_12_Cell02_GFP,yen,20,2908
20200909_MKY0140_12_Cell03_GFP,yen,28,2908
20200909_MKY0140_12_Cell04_GFP,yen,17,2014
20200909_MKY0140_13_Cell01_GFP,yen,32,2910
20200909_MKY0140_13_Cell02_GFP,yen,28,3049
20200909_MKY0140_13_Cell03_GFP,yen,34,3145
20200909_MKY0140_13_Cell04_GFP,yen,19,3454
20200909_MKY0140_13_Cell05_GFP,yen,24,4464
20200909_MKY0140_14_Cell01_GFP,yen,31,2782
20200909_MKY0140_14_Cell02_GFP,yen,36,3037
20200909_MKY0140_14_Cell03_GFP,yen,29,3540
20200909_MKY0140_15_Cell01_GFP,yen,36,3425
20200909_MKY0140_15_Cell02_GFP,yen,19,2374
