cell,mean,median,sd
20210629_MKY4450_04_Cell07_GFP_BS,4.248,3,4.241
20210629_MKY4450_04_Cell08_GFP_BS,4.091,3,4.629
20210629_MKY4450_04_Cell09_GFP_BS,4.256,4,3.713
20210629_MKY4450_04_Cell10_GFP_BS,3.586,3,3.627
20210629_MKY4450_04_Cell11_GFP_BS,3.522,3,3.077
20210629_MKY4450_04_Cell12_GFP_BS,4.527,3,5.199
20210629_MKY4450_05_Cell01_GFP_BS,6.251,5,5.068
20210629_MKY4450_05_Cell02_GFP_BS,5.533,4,5.127
20210629_MKY4450_05_Cell03_GFP_BS,4.461,3,5.117
20210629_MKY4450_05_Cell04_GFP_BS,5.602,4,7.468
20210629_MKY4450_05_Cell05_GFP_BS,6.039,5,4.901
20210629_MKY4450_05_Cell06_GFP_BS,3.948,3,4.126
20210629_MKY4450_05_Cell07_GFP_BS,4.968,4,4.552
20210629_MKY4450_05_Cell08_GFP_BS,4.168,4,3.768
20210629_MKY4450_05_Cell09_GFP_BS,5.063,4,4.594
20210629_MKY4450_05_Cell10_GFP_BS,3.069,3,2.543
20210629_MKY4450_05_Cell11_GFP_BS,3.511,3,3.034
20210629_MKY4450_05_Cell12_GFP_BS,3.187,3,2.643
20210629_MKY4450_06_Cell01_GFP_BS,4.675,3,5.632
20210629_MKY4450_06_Cell02_GFP_BS,3.602,3,3.192
20210629_MKY4450_06_Cell03_GFP_BS,4.622,4,4.262
20210629_MKY4450_06_Cell04_GFP_BS,5.1,4,6.398
20210629_MKY4450_06_Cell05_GFP_BS,5.557,4,7.077
20210629_MKY4450_06_Cell06_GFP_BS,3.237,3,2.947
20210629_MKY4450_06_Cell07_GFP_BS,4.053,3,3.423
20210629_MKY4450_06_Cell08_GFP_BS,3.119,3,2.849
20210629_MKY4450_06_Cell09_GFP_BS,5.697,5,4.809
20210629_MKY4450_06_Cell10_GFP_BS,4.973,4,5.737
20210629_MKY4450_06_Cell11_GFP_BS,4.971,4,5.446
20210629_MKY4450_06_Cell12_GFP_BS,5.205,4,5.228
20210629_MKY4450_07_Cell01_GFP_BS,5.007,3,8.047
20210629_MKY4450_07_Cell02_GFP_BS,4.055,3,3.623
20210629_MKY4450_07_Cell03_GFP_BS,3.968,3,4.832
20210629_MKY4450_07_Cell04_GFP_BS,5.019,4,3.887
20210629_MKY4450_07_Cell05_GFP_BS,3.544,3,3.479
20210629_MKY4450_07_Cell06_GFP_BS,4.49,4,4.005
20210629_MKY4450_07_Cell07_GFP_BS,4.077,3,3.548
20210629_MKY4450_07_Cell08_GFP_BS,3.623,3,3.172
