cell,mean,median,sd
20210630_MKY3487_04_Cell09_GFP_BS,4.751,3,6.634
20210630_MKY3487_04_Cell10_GFP_BS,5.033,4,7.142
20210630_MKY3487_04_Cell11_GFP_BS,5.071,4,8.466
20210630_MKY3487_04_Cell12_GFP_BS,5.19,4,10.971
20210630_MKY3487_05_Cell01_GFP_BS,7.713,4,19.283
20210630_MKY3487_05_Cell02_GFP_BS,6.687,5,11.82
20210630_MKY3487_05_Cell03_GFP_BS,6.822,4,16.251
20210630_MKY3487_05_Cell04_GFP_BS,7.152,4,25.469
20210630_MKY3487_05_Cell05_GFP_BS,5.492,3,15.12
20210630_MKY3487_05_Cell06_GFP_BS,4.29,3,9.255
20210630_MKY3487_05_Cell07_GFP_BS,4.382,3,11.277
20210630_MKY3487_05_Cell08_GFP_BS,5.227,4,7.008
20210630_MKY3487_05_Cell09_GFP_BS,3.629,3,5.069
20210630_MKY3487_05_Cell10_GFP_BS,4.912,3,9.778
20210630_MKY3487_05_Cell11_GFP_BS,4.656,3,10.813
20210630_MKY3487_05_Cell12_GFP_BS,5.148,3,12.004
20210630_MKY3487_06_Cell01_GFP_BS,3.996,3,7.168
20210630_MKY3487_06_Cell02_GFP_BS,5.763,4,11.646
20210630_MKY3487_06_Cell03_GFP_BS,5.346,4,13.435
20210630_MKY3487_06_Cell04_GFP_BS,5.025,3,9.637
20210630_MKY3487_06_Cell05_GFP_BS,5.346,4,10.321
20210630_MKY3487_06_Cell06_GFP_BS,6.44,4,13.963
20210630_MKY3487_06_Cell07_GFP_BS,6.137,4,18.352
20210630_MKY3487_06_Cell08_GFP_BS,5.132,3,9.521
20210630_MKY3487_06_Cell09_GFP_BS,6.286,4,16.136
20210630_MKY3487_06_Cell10_GFP_BS,4.154,3,7.374
20210630_MKY3487_06_Cell11_GFP_BS,8.15,5,23.481
20210630_MKY3487_06_Cell12_GFP_BS,4.207,3,6.929
20210630_MKY3487_07_Cell01_GFP_BS,3.998,3,6.659
20210630_MKY3487_07_Cell02_GFP_BS,3.706,3,6.734
20210630_MKY3487_07_Cell03_GFP_BS,5.49,4,10.984
20210630_MKY3487_07_Cell04_GFP_BS,5.785,4,15.496
20210630_MKY3487_07_Cell05_GFP_BS,5.766,4,15.834
20210630_MKY3487_07_Cell06_GFP_BS,5.778,4,17.54
20210630_MKY3487_07_Cell07_GFP_BS,4.857,3,7.142
20210630_MKY3487_07_Cell08_GFP_BS,7.525,4,19.407
20210630_MKY3487_07_Cell09_GFP_BS,5.235,4,8.281
20210630_MKY3487_07_Cell10_GFP_BS,4.604,3,10.001
20210630_MKY3487_07_Cell11_GFP_BS,6.641,5,12.407
20210630_MKY3487_07_Cell12_GFP_BS,6.265,4,12.904
20210630_MKY3487_08_Cell01_GFP_BS,6.062,4,13.331
20210630_MKY3487_08_Cell02_GFP_BS,6.967,5,13.119
20210630_MKY3487_08_Cell03_GFP_BS,7.935,4,15.631
20210630_MKY3487_08_Cell04_GFP_BS,8.455,5,25.21
20210630_MKY3487_08_Cell05_GFP_BS,4.724,4,7.458
20210630_MKY3487_08_Cell06_GFP_BS,6.977,4,14.724
20210630_MKY3487_08_Cell07_GFP_BS,3.891,3,5.598
20210630_MKY3487_08_Cell08_GFP_BS,5.132,3,14.01
20210630_MKY3487_08_Cell09_GFP_BS,5.255,4,9.312
20210630_MKY3487_08_Cell10_GFP_BS,5.621,4,10.631
20210630_MKY3487_08_Cell11_GFP_BS,6.091,4,13.25
20210630_MKY3487_08_Cell12_GFP_BS,6.023,4,15.946
20210630_MKY3487_09_Cell01_GFP_BS,3.96,3,6.035
20210630_MKY3487_09_Cell02_GFP_BS,3.735,3,5.337
20210630_MKY3487_09_Cell03_GFP_BS,3.92,3,6.262
20210630_MKY3487_09_Cell04_GFP_BS,3.695,3,4.767
20210630_MKY3487_09_Cell05_GFP_BS,8.869,4,24.328
20210630_MKY3487_09_Cell06_GFP_BS,6.754,4,18.771
20210630_MKY3487_09_Cell07_GFP_BS,5.514,4,9.342
20210630_MKY3487_09_Cell08_GFP_BS,4.543,3,8.585
20210630_MKY3487_09_Cell09_GFP_BS,5.55,4,9.781
20210630_MKY3487_09_Cell10_GFP_BS,6.379,4,13.545
20210630_MKY3487_09_Cell11_GFP_BS,5.689,4,11.139
20210630_MKY3487_09_Cell12_GFP_BS,6.54,4,16.866
20210630_MKY3487_10_Cell01_GFP_BS,6.511,4,9.875
20210630_MKY3487_10_Cell02_GFP_BS,5.758,4,13.316
20210630_MKY3487_10_Cell03_GFP_BS,5.605,4,7.939
20210630_MKY3487_10_Cell04_GFP_BS,6.045,3,15.778
20210630_MKY3487_10_Cell05_GFP_BS,6.808,4,16.23
20210630_MKY3487_10_Cell06_GFP_BS,6.414,4,10.904
20210630_MKY3487_10_Cell07_GFP_BS,5.544,4,11.685
20210630_MKY3487_10_Cell08_GFP_BS,3.58,3,5.152
20210630_MKY3487_10_Cell09_GFP_BS,3.849,3,6.249
20210630_MKY3487_10_Cell10_GFP_BS,5.866,4,10.167
20210630_MKY3487_10_Cell11_GFP_BS,6.325,4,14.509
20210630_MKY3487_10_Cell12_GFP_BS,6.275,4,14.357
20210630_MKY3488_01_Cell01_GFP_BS,19.553,5,83.844
20210630_MKY3488_01_Cell02_GFP_BS,6.962,5,17.274
20210630_MKY3488_01_Cell03_GFP_BS,25.17,5,112.329
20210630_MKY3488_01_Cell04_GFP_BS,7.623,4,32.157
20210630_MKY3488_01_Cell05_GFP_BS,5.698,3,19.966
20210630_MKY3488_01_Cell06_GFP_BS,4.335,3,10.235
20210630_MKY3488_01_Cell07_GFP_BS,9.406,3,32.922
20210630_MKY3488_01_Cell08_GFP_BS,8.933,3,44.666
20210630_MKY3488_01_Cell09_GFP_BS,22.876,5,96.935
20210630_MKY3488_01_Cell10_GFP_BS,16.48,4,78.625
20210630_MKY3488_01_Cell11_GFP_BS,12.897,4,50.334
20210630_MKY3488_01_Cell12_GFP_BS,28.525,5,135.903
20210630_MKY3488_02_Cell01_GFP_BS,16.968,4,80.607
20210630_MKY3488_02_Cell02_GFP_BS,12.998,5,54.918
20210630_MKY3488_02_Cell03_GFP_BS,17.848,5,83.404
20210630_MKY3488_02_Cell04_GFP_BS,19.294,4,105.58
20210630_MKY3488_02_Cell05_GFP_BS,19.095,4,97.067
20210630_MKY3488_02_Cell06_GFP_BS,13.446,4,49.682
20210630_MKY3488_02_Cell07_GFP_BS,9.412,3,42.703
20210630_MKY3488_02_Cell09_GFP_BS,18.843,4,90.139
20210630_MKY3488_02_Cell10_GFP_BS,11.327,4,58.033
20210630_MKY3488_02_Cell11_GFP_BS,20.657,5,95.245
20210630_MKY3488_02_Cell12_GFP_BS,9.87,3,46.668
20210630_MKY3488_03_Cell01_GFP_BS,10.004,3,44.278
20210630_MKY3488_03_Cell02_GFP_BS,19.171,4,110.841
20210630_MKY3488_03_Cell03_GFP_BS,10.024,3,46.686
20210630_MKY3488_03_Cell04_GFP_BS,12.568,3,54.746
20210630_MKY3488_03_Cell05_GFP_BS,6.761,3,23.357
20210630_MKY3488_03_Cell06_GFP_BS,17.653,4,75.924
20210630_MKY3488_03_Cell07_GFP_BS,19.94,4,90.643
20210630_MKY3488_03_Cell08_GFP_BS,9.023,4,34.889
20210630_MKY3488_03_Cell09_GFP_BS,15.333,4,75.772
20210630_MKY3488_03_Cell10_GFP_BS,8.386,4,30.381
20210630_MKY3488_03_Cell11_GFP_BS,26.12,5,146.128
20210630_MKY3488_03_Cell12_GFP_BS,16.033,5,95.929
20210630_MKY3488_04_Cell01_GFP_BS,16.41,4,71.407
20210630_MKY3488_04_Cell02_GFP_BS,15.421,4,87.432
20210630_MKY3488_04_Cell03_GFP_BS,9.127,4,36.947
20210630_MKY3488_04_Cell04_GFP_BS,11.747,3,51.597
20210630_MKY3488_04_Cell05_GFP_BS,8.249,4,29.283
20210630_MKY3488_04_Cell06_GFP_BS,9.819,4,34.901
20210630_MKY3488_04_Cell07_GFP_BS,19.897,5,100.813
20210630_MKY3488_04_Cell08_GFP_BS,17.643,4,100.735
20210630_MKY3488_04_Cell09_GFP_BS,16.52,4,68.898
20210630_MKY3488_04_Cell10_GFP_BS,12.8,4,64.067
20210630_MKY3488_04_Cell11_GFP_BS,13.296,4,62.995
20210630_MKY3488_04_Cell12_GFP_BS,10.296,3,51.142
20210630_MKY3488_05_Cell01_GFP_BS,7.642,3,32.25
20210630_MKY3488_05_Cell02_GFP_BS,8.73,3,35.389
20210630_MKY3488_05_Cell03_GFP_BS,16.186,4,71.649
20210630_MKY3488_05_Cell04_GFP_BS,18.939,4,79.996
20210630_MKY3488_05_Cell05_GFP_BS,12.104,6,53.546
20210630_MKY3488_05_Cell06_GFP_BS,16.672,4,90.474
20210630_MKY3488_05_Cell07_GFP_BS,9.566,4,50.803
20210630_MKY3488_05_Cell08_GFP_BS,4.138,2,15.34
20210630_MKY3488_05_Cell09_GFP_BS,10.728,3,54.136
20210630_MKY3488_05_Cell10_GFP_BS,20.371,5,103.717
20210630_MKY3488_05_Cell11_GFP_BS,11.752,4,63.542
20210630_MKY3488_05_Cell12_GFP_BS,15.004,4,70.778
20210630_MKY3488_06_Cell01_GFP_BS,13.358,5,54.138
20210630_MKY3488_06_Cell02_GFP_BS,24.748,5,120.167
20210630_MKY3488_06_Cell03_GFP_BS,14.814,5,71.532
20210630_MKY3488_06_Cell04_GFP_BS,15.952,4,82.613
20210630_MKY3488_06_Cell05_GFP_BS,15.044,4,69.319
20210630_MKY3488_06_Cell06_GFP_BS,7.267,3,24.593
20210630_MKY3488_06_Cell07_GFP_BS,9.855,4,55.709
20210630_MKY3488_06_Cell08_GFP_BS,21.98,4,103.227
20210630_MKY3488_06_Cell09_GFP_BS,14.055,4,66.931
20210630_MKY3488_06_Cell10_GFP_BS,11.016,3,52.561
20210630_MKY3488_06_Cell11_GFP_BS,15.062,4,66.352
20210630_MKY3488_06_Cell12_GFP_BS,19.342,5,97.766
20210630_MKY3488_07_Cell01_GFP_BS,10.061,4,36.907
20210630_MKY3488_07_Cell02_GFP_BS,10.223,3,44.601
20210630_MKY3488_07_Cell03_GFP_BS,11.359,4,50.655
20210630_MKY3488_07_Cell04_GFP_BS,5.77,3,24.609
20210630_MKY3488_07_Cell05_GFP_BS,15.394,4,70.879
20210630_MKY3488_07_Cell06_GFP_BS,16.298,5,79.304
20210630_MKY3488_07_Cell07_GFP_BS,18.568,5,109.203
20210630_MKY3488_07_Cell08_GFP_BS,14.753,3,74.773
20210630_MKY3488_07_Cell09_GFP_BS,8.408,3,41.376
20210630_MKY3488_07_Cell10_GFP_BS,7.575,3,28.719
20210630_MKY3488_07_Cell11_GFP_BS,5.738,3,25.921
20210630_MKY3488_07_Cell12_GFP_BS,40.65,5,199.489
20210630_MKY3488_08_Cell01_GFP_BS,13.573,5,53.891
20210630_MKY3488_08_Cell02_GFP_BS,15.422,4,77.594
20210630_MKY3488_08_Cell03_GFP_BS,18.063,4,87.099
20210630_MKY3488_08_Cell04_GFP_BS,16.517,3,79.232
20210630_MKY3488_08_Cell05_GFP_BS,14.147,5,55.852
20210630_MKY3488_08_Cell06_GFP_BS,28.769,5,129.355
20210630_MKY3488_08_Cell07_GFP_BS,17.72,4,93.534
20210630_MKY3488_08_Cell08_GFP_BS,11.434,3,47.059
20210630_MKY3488_08_Cell09_GFP_BS,12.372,3,54.941
20210630_MKY3488_08_Cell10_GFP_BS,9.925,3,44.826
20210630_MKY3488_08_Cell11_GFP_BS,12.83,3,66.088
20210630_MKY3488_08_Cell12_GFP_BS,20.846,4,102.699
20210630_MKY3488_09_Cell01_GFP_BS,15.076,4,86.122
20210630_MKY3488_09_Cell02_GFP_BS,8.583,3,32.21
20210630_MKY3488_09_Cell03_GFP_BS,14.15,4,62.648
20210630_MKY3488_09_Cell04_GFP_BS,14.443,4,61.804
20210630_MKY3488_09_Cell05_GFP_BS,12.876,4,63.263
20210630_MKY3488_09_Cell06_GFP_BS,12.183,4,50.582
20210630_MKY3488_09_Cell07_GFP_BS,13.148,4,69.224
20210630_MKY3488_09_Cell08_GFP_BS,6.723,3,26.04
20210630_MKY3488_09_Cell09_GFP_BS,17.384,5,91.934
20210630_MKY3488_09_Cell10_GFP_BS,6.135,3,22.623
20210630_MKY3488_09_Cell11_GFP_BS,28.859,5,156.047
20210630_MKY3488_09_Cell12_GFP_BS,5.957,3,24.85
20210630_MKY3488_10_Cell01_GFP_BS,15.207,4,86.536
20210630_MKY3488_10_Cell02_GFP_BS,17.893,4,83.23
20210630_MKY3488_10_Cell03_GFP_BS,7.32,3,34.169
20210630_MKY3488_10_Cell04_GFP_BS,4.91,3,17.229
20210630_MKY3488_10_Cell05_GFP_BS,16.085,4,77.986
20210630_MKY3488_10_Cell06_GFP_BS,20.228,5,100.385
20210630_MKY3488_10_Cell07_GFP_BS,17.888,5,83.39
20210630_MKY3488_10_Cell08_GFP_BS,13.365,4,63.124
20210630_MKY3488_10_Cell09_GFP_BS,11.74,3,62.756
20210630_MKY3488_10_Cell10_GFP_BS,15.419,4,71.912
20210630_MKY3488_10_Cell11_GFP_BS,5.842,3,23.216
20210630_MKY3488_10_Cell12_GFP_BS,16.884,3,92.826
20210630_MKY4450_01_Cell01_GFP_BS,4.121,3,4.296
20210630_MKY4450_01_Cell02_GFP_BS,3.456,3,3.092
20210630_MKY4450_01_Cell03_GFP_BS,5.154,4,4.487
20210630_MKY4450_01_Cell04_GFP_BS,5.771,4,5.979
20210630_MKY4450_01_Cell05_GFP_BS,6.661,5,7.501
20210630_MKY4450_01_Cell06_GFP_BS,3.761,3,4.35
20210630_MKY4450_01_Cell07_GFP_BS,3.96,3,4.518
20210630_MKY4450_01_Cell08_GFP_BS,3.183,3,3.258
20210630_MKY4450_01_Cell09_GFP_BS,4.558,4,5.056
20210630_MKY4450_01_Cell10_GFP_BS,5.301,4,4.895
20210630_MKY4450_01_Cell11_GFP_BS,7.216,5,10.549
20210630_MKY4450_01_Cell12_GFP_BS,3.618,3,3.306
20210630_MKY4450_02_Cell01_GFP_BS,5.559,5,4.607
20210630_MKY4450_02_Cell02_GFP_BS,4.685,4,4.34
20210630_MKY4450_02_Cell03_GFP_BS,5.498,4,5.095
20210630_MKY4450_02_Cell04_GFP_BS,4.452,3,6.71
20210630_MKY4450_02_Cell05_GFP_BS,3.049,3,2.666
20210630_MKY4450_02_Cell06_GFP_BS,3.574,3,3.163
20210630_MKY4450_02_Cell07_GFP_BS,3.592,3,3.135
20210630_MKY4450_02_Cell08_GFP_BS,5.41,4,6.736
20210630_MKY4450_02_Cell09_GFP_BS,6.171,4,8.275
20210630_MKY4450_02_Cell10_GFP_BS,4.21,3,3.96
20210630_MKY4450_02_Cell11_GFP_BS,5.246,4,5.615
20210630_MKY4450_02_Cell12_GFP_BS,6.411,5,5.416
20210630_MKY4450_03_Cell01_GFP_BS,4.417,3,5.067
20210630_MKY4450_03_Cell02_GFP_BS,3.567,3,3.099
20210630_MKY4450_03_Cell03_GFP_BS,3.43,3,2.848
20210630_MKY4450_03_Cell04_GFP_BS,4.824,4,4.264
20210630_MKY4450_03_Cell05_GFP_BS,4.967,4,5.654
20210630_MKY4450_03_Cell06_GFP_BS,3.87,3,4.009
20210630_MKY4450_03_Cell07_GFP_BS,5.288,4,6.915
20210630_MKY4450_03_Cell08_GFP_BS,4.347,3,5.404
20210630_MKY4450_03_Cell09_GFP_BS,3.942,3,4.085
20210630_MKY4450_03_Cell10_GFP_BS,3.496,3,3.47
20210630_MKY4450_03_Cell11_GFP_BS,3.483,3,3.367
20210630_MKY4450_03_Cell12_GFP_BS,5.095,4,6.15
20210630_MKY4450_04_Cell01_GFP_BS,5.06,4,4.181
20210630_MKY4450_04_Cell02_GFP_BS,4.77,3,6.812
20210630_MKY4450_04_Cell03_GFP_BS,5.946,4,7.311
20210630_MKY4450_04_Cell04_GFP_BS,3.971,3,4.499
20210630_MKY4450_04_Cell05_GFP_BS,4.251,3,4.578
20210630_MKY4450_04_Cell06_GFP_BS,5.142,3,7.482
20210630_MKY4450_04_Cell07_GFP_BS,4.797,4,7.001
20210630_MKY4450_04_Cell08_GFP_BS,3.533,3,3.443
20210630_MKY4450_04_Cell09_GFP_BS,2.992,3,2.846
20210630_MKY4450_04_Cell10_GFP_BS,3.673,3,3.387
20210630_MKY4450_04_Cell11_GFP_BS,3.152,3,2.943
20210630_MKY4450_04_Cell12_GFP_BS,4.036,3,4.632
20210630_MKY4450_05_Cell01_GFP_BS,4.289,4,4.106
20210630_MKY4450_05_Cell02_GFP_BS,5.049,4,4.986
20210630_MKY4450_05_Cell03_GFP_BS,5.231,4,6.478
20210630_MKY4450_05_Cell04_GFP_BS,5.34,5,4.372
20210630_MKY4450_05_Cell05_GFP_BS,3.088,3,2.76
20210630_MKY4450_05_Cell06_GFP_BS,3.364,3,3.347
20210630_MKY4450_05_Cell07_GFP_BS,2.4,2,2.128
20210630_MKY4450_05_Cell08_GFP_BS,4.105,3,3.557
20210630_MKY4450_05_Cell09_GFP_BS,4.138,3,4.837
20210630_MKY4450_05_Cell10_GFP_BS,5.182,4,5.772
20210630_MKY4450_05_Cell11_GFP_BS,3.632,3,3.226
20210630_MKY4450_05_Cell12_GFP_BS,4.177,3,4.252
20210630_MKY4450_06_Cell01_GFP_BS,3.767,3,3.613
20210630_MKY4450_06_Cell02_GFP_BS,3.75,3,3.544
20210630_MKY4450_06_Cell03_GFP_BS,3.984,3,3.581
20210630_MKY4450_06_Cell04_GFP_BS,4.34,3,4.385
20210630_MKY4450_06_Cell05_GFP_BS,4.703,4,4.666
20210630_MKY4450_06_Cell06_GFP_BS,5.637,4,6.115
20210630_MKY4450_06_Cell07_GFP_BS,5.288,4,7.028
20210630_MKY4450_06_Cell08_GFP_BS,3.717,3,3.587
20210630_MKY4450_06_Cell09_GFP_BS,4.392,4,3.967
20210630_MKY4450_06_Cell10_GFP_BS,4.266,3,5.495
20210630_MKY4450_06_Cell11_GFP_BS,4.477,4,4.507
20210630_MKY4450_06_Cell12_GFP_BS,4.304,4,3.548
20210630_MKY4450_07_Cell01_GFP_BS,4.243,3,4.223
20210630_MKY4450_07_Cell02_GFP_BS,4.182,4,3.513
20210630_MKY4450_07_Cell03_GFP_BS,6.417,4,10.249
20210630_MKY4450_07_Cell04_GFP_BS,4.622,4,4.629
20210630_MKY4450_07_Cell05_GFP_BS,3.347,3,3.305
20210630_MKY4450_07_Cell06_GFP_BS,3.019,3,2.713
20210630_MKY4450_07_Cell07_GFP_BS,4.014,3,4.802
20210630_MKY4450_07_Cell08_GFP_BS,4.645,4,4.94
20210630_MKY4450_07_Cell09_GFP_BS,5.217,4,4.999
20210630_MKY4450_07_Cell10_GFP_BS,5.204,4,4.468
20210630_MKY4450_07_Cell11_GFP_BS,3.034,3,2.874
20210630_MKY4450_07_Cell12_GFP_BS,3.238,3,3.09
20210630_MKY4450_08_Cell01_GFP_BS,4.121,3,3.873
20210630_MKY4450_08_Cell02_GFP_BS,5.259,4,6.037
20210630_MKY4450_08_Cell03_GFP_BS,5.614,4,7.906
20210630_MKY4450_08_Cell04_GFP_BS,4.348,4,3.955
20210630_MKY4450_08_Cell05_GFP_BS,4.596,4,5.032
20210630_MKY4450_08_Cell06_GFP_BS,3.868,3,3.531
20210630_MKY4450_08_Cell07_GFP_BS,3.473,3,2.947
20210630_MKY4450_08_Cell08_GFP_BS,3.512,3,3.2
20210630_MKY4450_08_Cell09_GFP_BS,3.644,3,5.031
20210630_MKY4450_08_Cell10_GFP_BS,4.232,4,3.614
20210630_MKY4450_08_Cell11_GFP_BS,3.76,3,3.966
20210630_MKY4450_08_Cell12_GFP_BS,4.534,3,5.167
20210630_MKY4450_09_Cell01_GFP_BS,4.429,4,4.406
20210630_MKY4450_09_Cell02_GFP_BS,4.538,3,6.009
20210630_MKY4450_09_Cell03_GFP_BS,2.878,3,2.444
20210630_MKY4450_09_Cell04_GFP_BS,4.037,3,4.442
20210630_MKY4450_09_Cell05_GFP_BS,4.821,3,5.932
20210630_MKY4450_09_Cell06_GFP_BS,4.894,3,7.575
20210630_MKY4450_09_Cell07_GFP_BS,4.731,4,4.979
20210630_MKY4450_09_Cell08_GFP_BS,4.065,3,3.616
20210630_MKY4450_09_Cell09_GFP_BS,4.544,3,5.065
20210630_MKY4450_09_Cell10_GFP_BS,5.237,4,6.15
20210630_MKY4450_09_Cell11_GFP_BS,4.188,3,4.791
20210630_MKY4450_09_Cell12_GFP_BS,4.094,3,3.641
20210630_MKY4450_10_Cell01_GFP_BS,3.729,3,3.49
20210630_MKY4450_10_Cell02_GFP_BS,3.678,3,3.418
20210630_MKY4450_10_Cell03_GFP_BS,3.677,3,3.201
20210630_MKY4450_10_Cell04_GFP_BS,4.264,3,4.266
20210630_MKY4450_10_Cell05_GFP_BS,3.255,3,2.836
20210630_MKY4450_10_Cell06_GFP_BS,4.565,4,4.236
20210630_MKY4450_10_Cell07_GFP_BS,4,3,3.73
20210630_MKY4450_10_Cell08_GFP_BS,4.255,3,3.956
20210630_MKY4450_10_Cell09_GFP_BS,3.971,3,3.539
20210630_MKY4450_10_Cell10_GFP_BS,3.595,3,3.161
20210630_MKY4450_10_Cell11_GFP_BS,4.29,4,3.964
20210630_MKY4450_10_Cell12_GFP_BS,3.83,3,3.944
