cell,mean,median,sd
20210701_MKY3487_06_Cell05_GFP_BS,5.135,4,12.104
20210701_MKY3487_06_Cell06_GFP_BS,6.002,3,21.379
20210701_MKY3487_06_Cell07_GFP_BS,6.533,5,13.164
20210701_MKY3487_06_Cell08_GFP_BS,5.843,4,10.486
20210701_MKY3487_06_Cell09_GFP_BS,6.8,4,16.979
20210701_MKY3487_06_Cell10_GFP_BS,4.6,4,6.386
20210701_MKY3487_06_Cell11_GFP_BS,4.396,3,12.151
20210701_MKY3487_06_Cell12_GFP_BS,6.977,5,11.455
20210701_MKY3487_06_Cell13_GFP_BS,5.372,5,5.124
20210701_MKY3487_06_Cell14_GFP_BS,4.736,3,6.256
20210701_MKY3487_07_Cell01_GFP_BS,6.807,4,14.307
20210701_MKY3487_07_Cell02_GFP_BS,6.1,4,9.929
20210701_MKY3487_07_Cell03_GFP_BS,6.549,4,13.991
20210701_MKY3487_07_Cell04_GFP_BS,5.384,4,7.791
20210701_MKY3487_07_Cell05_GFP_BS,4.596,3,8.951
20210701_MKY3487_07_Cell06_GFP_BS,6.693,5,13.538
20210701_MKY3487_07_Cell07_GFP_BS,4.396,3,10.89
20210701_MKY3487_07_Cell08_GFP_BS,3.065,3,3.411
20210701_MKY3487_07_Cell09_GFP_BS,7.121,4,21.612
20210701_MKY3487_07_Cell10_GFP_BS,7.886,5,19.321
20210701_MKY3487_07_Cell11_GFP_BS,5.581,4,7.288
20210701_MKY3487_07_Cell12_GFP_BS,7.919,4,16.458
20210701_MKY3487_07_Cell13_GFP_BS,7.012,4,11.68
20210701_MKY3487_07_Cell14_GFP_BS,6.973,5,11.419
20210701_MKY3487_07_Cell15_GFP_BS,6.567,4,14.109
20210701_MKY3487_08_Cell01_GFP_BS,7.227,4,21.148
20210701_MKY3487_08_Cell02_GFP_BS,6.144,4,19.896
20210701_MKY3487_08_Cell03_GFP_BS,3.529,3,4.967
20210701_MKY3487_08_Cell04_GFP_BS,4.133,3,5.746
20210701_MKY3487_08_Cell05_GFP_BS,5.872,5,8.782
20210701_MKY3487_08_Cell06_GFP_BS,7.354,5,19.955
20210701_MKY3487_08_Cell07_GFP_BS,4.572,3,11.22
20210701_MKY3487_08_Cell08_GFP_BS,4.827,3,14.268
20210701_MKY3487_08_Cell09_GFP_BS,6.535,5,9.326
20210701_MKY3487_08_Cell10_GFP_BS,5.337,4,7.958
20210701_MKY3487_08_Cell11_GFP_BS,5.186,4,6.422
20210701_MKY3487_08_Cell12_GFP_BS,7.002,4,24.155
20210701_MKY3487_08_Cell13_GFP_BS,3.514,3,4.917
20210701_MKY3487_08_Cell14_GFP_BS,5.234,3,13.527
20210701_MKY3487_08_Cell15_GFP_BS,4.292,3,6.705
20210701_MKY3487_09_Cell01_GFP_BS,5.02,3,13.896
20210701_MKY3487_09_Cell02_GFP_BS,4.129,3,5.669
20210701_MKY3487_09_Cell03_GFP_BS,3.836,3,5.251
20210701_MKY3487_09_Cell04_GFP_BS,3.698,3,5.308
20210701_MKY3487_09_Cell05_GFP_BS,4.348,3,9.089
20210701_MKY3487_09_Cell06_GFP_BS,4.966,4,7.16
20210701_MKY3487_09_Cell07_GFP_BS,6.791,5,9.813
20210701_MKY3487_09_Cell08_GFP_BS,8.624,4,21.579
20210701_MKY3487_09_Cell09_GFP_BS,5.429,4,7.582
20210701_MKY3487_09_Cell10_GFP_BS,6.117,5,8.365
20210701_MKY3487_09_Cell11_GFP_BS,6.639,5,12.722
20210701_MKY3487_09_Cell12_GFP_BS,5.848,4,10.395
20210701_MKY3487_09_Cell13_GFP_BS,5.455,4,8.068
20210701_MKY3487_09_Cell14_GFP_BS,6.478,4,13.093
20210701_MKY3487_09_Cell15_GFP_BS,7.152,5,22.622
20210701_MKY3487_10_Cell01_GFP_BS,4.987,4,8.375
20210701_MKY3487_10_Cell02_GFP_BS,7.263,5,8.968
20210701_MKY3487_10_Cell03_GFP_BS,8.264,6,18.995
20210701_MKY3487_10_Cell04_GFP_BS,5.772,4,9.054
20210701_MKY3487_10_Cell05_GFP_BS,5.059,4,6.653
20210701_MKY3487_10_Cell06_GFP_BS,4.68,3,7.951
20210701_MKY3487_10_Cell07_GFP_BS,4.7,4,7.132
20210701_MKY3487_10_Cell08_GFP_BS,6.431,4,12.195
20210701_MKY3487_10_Cell09_GFP_BS,5.261,4,10.311
20210701_MKY3487_10_Cell10_GFP_BS,4.528,4,5.662
20210701_MKY3487_10_Cell11_GFP_BS,4.948,4,8.009
20210701_MKY3487_10_Cell12_GFP_BS,4.004,3,5.69
20210701_MKY3487_10_Cell13_GFP_BS,6.61,4,15.811
20210701_MKY3487_10_Cell14_GFP_BS,4.372,3,11.429
20210701_MKY3487_10_Cell15_GFP_BS,6.379,4,22.247
20210701_MKY3488_01_Cell01_GFP_BS,29.413,6,142.446
20210701_MKY3488_01_Cell02_GFP_BS,24.49,5,132.345
20210701_MKY3488_01_Cell03_GFP_BS,34.911,6,204.011
20210701_MKY3488_01_Cell04_GFP_BS,15.136,5,87.303
20210701_MKY3488_01_Cell05_GFP_BS,11.666,4,56.651
20210701_MKY3488_01_Cell06_GFP_BS,8.976,4,38.56
20210701_MKY3488_01_Cell07_GFP_BS,18.543,4,86.018
20210701_MKY3488_01_Cell08_GFP_BS,20.562,5,92.54
20210701_MKY3488_01_Cell09_GFP_BS,13.57,4,65.176
20210701_MKY3488_01_Cell10_GFP_BS,10.021,4,36.39
20210701_MKY3488_01_Cell11_GFP_BS,18.816,4,83.266
20210701_MKY3488_01_Cell12_GFP_BS,23.384,5,119.755
20210701_MKY3488_01_Cell13_GFP_BS,6.914,3,23.43
20210701_MKY3488_02_Cell01_GFP_BS,15.809,5,90.683
20210701_MKY3488_02_Cell02_GFP_BS,19.063,5,103.516
20210701_MKY3488_02_Cell03_GFP_BS,15.476,4,71.992
20210701_MKY3488_02_Cell04_GFP_BS,9.914,4,36.933
20210701_MKY3488_02_Cell05_GFP_BS,36.312,5,166.801
20210701_MKY3488_02_Cell06_GFP_BS,30.55,5,150.63
20210701_MKY3488_02_Cell07_GFP_BS,25.702,6,124.079
20210701_MKY3488_02_Cell08_GFP_BS,11.385,3,69.206
20210701_MKY3488_02_Cell09_GFP_BS,18.908,4,100.915
20210701_MKY3488_02_Cell10_GFP_BS,20.338,4,118.475
20210701_MKY3488_02_Cell11_GFP_BS,23.401,5,116.909
20210701_MKY3488_03_Cell01_GFP_BS,26.576,7,122.059
20210701_MKY3488_03_Cell02_GFP_BS,27.228,6,145.819
20210701_MKY3488_03_Cell03_GFP_BS,22.638,6,108.589
20210701_MKY3488_03_Cell04_GFP_BS,21.279,5,103.753
20210701_MKY3488_03_Cell05_GFP_BS,14.074,5,68.456
20210701_MKY3488_03_Cell06_GFP_BS,11.267,5,43.43
20210701_MKY3488_03_Cell07_GFP_BS,20.371,5,97.296
20210701_MKY3488_03_Cell08_GFP_BS,15.543,4,70.318
20210701_MKY3488_03_Cell09_GFP_BS,29.136,5,152.173
20210701_MKY3488_03_Cell10_GFP_BS,26.056,4,125.512
20210701_MKY3488_03_Cell11_GFP_BS,9.339,3,38.776
20210701_MKY3488_03_Cell12_GFP_BS,14.956,4,71.878
20210701_MKY3488_04_Cell01_GFP_BS,17.252,4,97.598
20210701_MKY3488_04_Cell02_GFP_BS,19.553,5,108.367
20210701_MKY3488_04_Cell03_GFP_BS,22.836,5,123.498
20210701_MKY3488_04_Cell04_GFP_BS,15.889,4,94.932
20210701_MKY3488_04_Cell05_GFP_BS,11.522,5,47.579
20210701_MKY3488_04_Cell06_GFP_BS,9.775,3,57.498
20210701_MKY3488_04_Cell07_GFP_BS,10.023,3,47.557
20210701_MKY3488_04_Cell08_GFP_BS,5.908,3,23.159
20210701_MKY3488_04_Cell09_GFP_BS,12.401,3,68.84
20210701_MKY3488_04_Cell10_GFP_BS,11.426,3,50.284
20210701_MKY3488_04_Cell11_GFP_BS,22.509,5,111.946
20210701_MKY3488_04_Cell12_GFP_BS,20.232,5,112.322
20210701_MKY3488_05_Cell01_GFP_BS,12.957,4,78.647
20210701_MKY3488_05_Cell02_GFP_BS,12.995,4,63.282
20210701_MKY3488_05_Cell03_GFP_BS,21.445,4,111.923
20210701_MKY3488_05_Cell04_GFP_BS,15.224,4,72.601
20210701_MKY3488_05_Cell05_GFP_BS,14.877,4,67.205
20210701_MKY3488_05_Cell06_GFP_BS,18.797,4,95.682
20210701_MKY3488_05_Cell07_GFP_BS,13.427,5,57.878
20210701_MKY3488_05_Cell08_GFP_BS,17.107,4,84.151
20210701_MKY3488_05_Cell09_GFP_BS,17.341,4,98.752
20210701_MKY3488_05_Cell10_GFP_BS,11.424,4,58.73
20210701_MKY3488_05_Cell11_GFP_BS,16.596,5,96.628
20210701_MKY3488_05_Cell12_GFP_BS,28.83,6,137.836
20210701_MKY3488_06_Cell01_GFP_BS,21.077,7,84.706
20210701_MKY3488_06_Cell02_GFP_BS,23.604,4,123.866
20210701_MKY3488_06_Cell03_GFP_BS,21.708,4,117.512
20210701_MKY3488_06_Cell04_GFP_BS,14.411,4,84.203
20210701_MKY3488_06_Cell05_GFP_BS,20.024,4,101.912
20210701_MKY3488_06_Cell06_GFP_BS,17.189,5,100.259
20210701_MKY3488_06_Cell07_GFP_BS,16.374,4,86.676
20210701_MKY3488_06_Cell08_GFP_BS,14.428,4,69.323
20210701_MKY3488_06_Cell09_GFP_BS,14.063,4,59.307
20210701_MKY3488_06_Cell10_GFP_BS,19.456,5,109.577
20210701_MKY3488_06_Cell11_GFP_BS,23.292,4,135.328
20210701_MKY3488_06_Cell12_GFP_BS,12.519,4,67.71
20210701_MKY3488_07_Cell01_GFP_BS,16.323,4,86.03
20210701_MKY3488_07_Cell02_GFP_BS,20.198,5,102.554
20210701_MKY3488_07_Cell03_GFP_BS,10.974,4,53.77
20210701_MKY3488_07_Cell04_GFP_BS,21.543,5,109.175
20210701_MKY3488_07_Cell05_GFP_BS,25.507,5,137.497
20210701_MKY3488_07_Cell06_GFP_BS,19.341,4,95.54
20210701_MKY3488_07_Cell07_GFP_BS,37.698,5,183.487
20210701_MKY3488_07_Cell08_GFP_BS,13.611,4,70.315
20210701_MKY3488_07_Cell09_GFP_BS,7.072,3,31.306
20210701_MKY3488_07_Cell10_GFP_BS,9.747,3,57.072
20210701_MKY3488_07_Cell11_GFP_BS,23.698,5,117.187
20210701_MKY3488_07_Cell12_GFP_BS,14.932,4,83.566
20210701_MKY3488_08_Cell01_GFP_BS,21.695,5,120.08
20210701_MKY3488_08_Cell02_GFP_BS,18.301,4,96.069
20210701_MKY3488_08_Cell03_GFP_BS,15.721,5,70.786
20210701_MKY3488_08_Cell04_GFP_BS,11.524,5,44.547
20210701_MKY3488_08_Cell05_GFP_BS,17.629,5,97.427
20210701_MKY3488_08_Cell06_GFP_BS,14.74,4,72.408
20210701_MKY3488_08_Cell07_GFP_BS,15.248,4,63.513
20210701_MKY3488_08_Cell08_GFP_BS,18.427,5,93.624
20210701_MKY3488_08_Cell09_GFP_BS,22.103,6,97.895
20210701_MKY3488_08_Cell10_GFP_BS,17.764,4,93.401
20210701_MKY3488_08_Cell11_GFP_BS,21.068,5,102.132
20210701_MKY3488_08_Cell12_GFP_BS,21.031,4,108.555
20210701_MKY3488_09_Cell01_GFP_BS,11.234,4,50.641
20210701_MKY3488_09_Cell02_GFP_BS,19.282,4,92.77
20210701_MKY3488_09_Cell03_GFP_BS,12.386,4,54.536
20210701_MKY3488_09_Cell04_GFP_BS,13.705,4,74.309
20210701_MKY3488_09_Cell05_GFP_BS,14.336,4,70.988
20210701_MKY3488_09_Cell06_GFP_BS,23.087,5,110.608
20210701_MKY3488_09_Cell07_GFP_BS,20.488,4,122.728
20210701_MKY3488_09_Cell08_GFP_BS,6.704,3,28.399
20210701_MKY3488_09_Cell09_GFP_BS,4.069,2,16.219
20210701_MKY3488_09_Cell10_GFP_BS,12.924,4,64.487
20210701_MKY3488_09_Cell11_GFP_BS,7.059,4,23.335
20210701_MKY3488_09_Cell12_GFP_BS,11.766,4,53.753
20210701_MKY3488_10_Cell01_GFP_BS,9.22,4,42.768
20210701_MKY3488_10_Cell02_GFP_BS,10.978,4,55.349
20210701_MKY3488_10_Cell03_GFP_BS,18.341,5,84.201
20210701_MKY3488_10_Cell04_GFP_BS,17.332,5,83.234
20210701_MKY3488_10_Cell05_GFP_BS,22.371,5,105.428
20210701_MKY3488_10_Cell06_GFP_BS,10.38,4,42.873
20210701_MKY3488_10_Cell07_GFP_BS,16.268,4,74.96
20210701_MKY3488_10_Cell08_GFP_BS,6.429,3,21.489
20210701_MKY3488_10_Cell09_GFP_BS,6.781,3,25.064
20210701_MKY3488_10_Cell10_GFP_BS,21.493,5,118.659
20210701_MKY3488_10_Cell11_GFP_BS,24.262,5,117.976
20210701_MKY3488_10_Cell12_GFP_BS,19.824,5,100.169
20210701_MKY4450_01_Cell01_GFP_BS,5.433,4,6.018
20210701_MKY4450_01_Cell02_GFP_BS,3.931,3,4.082
20210701_MKY4450_01_Cell03_GFP_BS,5.183,4,5.176
20210701_MKY4450_01_Cell04_GFP_BS,5.951,4,7.637
20210701_MKY4450_01_Cell05_GFP_BS,3.981,3,3.249
20210701_MKY4450_01_Cell06_GFP_BS,4.137,3,4.229
20210701_MKY4450_01_Cell07_GFP_BS,3.875,3,3.4
20210701_MKY4450_01_Cell08_GFP_BS,4.327,4,3.676
20210701_MKY4450_01_Cell09_GFP_BS,5.509,4,6.74
20210701_MKY4450_01_Cell10_GFP_BS,3.763,3,3.246
20210701_MKY4450_01_Cell11_GFP_BS,3.964,3,3.402
20210701_MKY4450_01_Cell12_GFP_BS,3.366,3,3.651
20210701_MKY4450_02_Cell01_GFP_BS,3.343,3,3.135
20210701_MKY4450_02_Cell02_GFP_BS,3.747,3,3.249
20210701_MKY4450_02_Cell03_GFP_BS,4.023,3,3.446
20210701_MKY4450_02_Cell04_GFP_BS,4.611,4,3.779
20210701_MKY4450_02_Cell05_GFP_BS,5.524,4,5.456
20210701_MKY4450_02_Cell06_GFP_BS,4.406,4,4.006
20210701_MKY4450_02_Cell07_GFP_BS,6.083,4,9.254
20210701_MKY4450_02_Cell08_GFP_BS,4.502,3,5.023
20210701_MKY4450_02_Cell09_GFP_BS,4.301,4,4.325
20210701_MKY4450_02_Cell10_GFP_BS,5.4,5,4.489
20210701_MKY4450_02_Cell11_GFP_BS,3.974,3,4.494
20210701_MKY4450_02_Cell12_GFP_BS,4.904,4,4.812
20210701_MKY4450_03_Cell01_GFP_BS,4.639,4,4.317
20210701_MKY4450_03_Cell02_GFP_BS,4.32,4,3.574
20210701_MKY4450_03_Cell03_GFP_BS,3.922,3,3.647
20210701_MKY4450_03_Cell04_GFP_BS,3.429,3,3.059
20210701_MKY4450_03_Cell05_GFP_BS,3.889,3,3.243
20210701_MKY4450_03_Cell06_GFP_BS,3.335,3,3.066
20210701_MKY4450_03_Cell07_GFP_BS,4.602,4,4.56
20210701_MKY4450_03_Cell08_GFP_BS,6.27,5,5.737
20210701_MKY4450_03_Cell09_GFP_BS,5.052,4,4.156
20210701_MKY4450_03_Cell10_GFP_BS,4.79,4,4.358
20210701_MKY4450_03_Cell11_GFP_BS,4.116,3,4.35
20210701_MKY4450_03_Cell12_GFP_BS,3.735,3,3.595
20210701_MKY4450_04_Cell01_GFP_BS,4.692,4,4.305
20210701_MKY4450_04_Cell02_GFP_BS,5.599,4,6.126
20210701_MKY4450_04_Cell03_GFP_BS,3.827,3,3.276
20210701_MKY4450_04_Cell04_GFP_BS,3.039,3,2.652
20210701_MKY4450_04_Cell05_GFP_BS,4.075,4,3.437
20210701_MKY4450_04_Cell06_GFP_BS,5.366,5,4.392
20210701_MKY4450_04_Cell07_GFP_BS,5.425,4,5.148
20210701_MKY4450_04_Cell08_GFP_BS,3.266,3,3.016
20210701_MKY4450_04_Cell09_GFP_BS,6.836,6,5.111
20210701_MKY4450_04_Cell10_GFP_BS,3.328,3,2.994
20210701_MKY4450_04_Cell11_GFP_BS,6.055,5,6.103
20210701_MKY4450_04_Cell12_GFP_BS,4.015,4,3.268
20210701_MKY4450_05_Cell01_GFP_BS,3.016,3,2.658
20210701_MKY4450_05_Cell02_GFP_BS,4.152,4,3.461
20210701_MKY4450_05_Cell03_GFP_BS,4.191,3,4.155
20210701_MKY4450_05_Cell04_GFP_BS,4.77,4,5.262
20210701_MKY4450_05_Cell05_GFP_BS,5.214,4,5.714
20210701_MKY4450_05_Cell06_GFP_BS,4.956,4,5.14
20210701_MKY4450_05_Cell07_GFP_BS,5.335,4,6.581
20210701_MKY4450_05_Cell08_GFP_BS,4.708,3,5.924
20210701_MKY4450_05_Cell09_GFP_BS,4.385,3,4.586
20210701_MKY4450_05_Cell10_GFP_BS,4.31,3,5.594
20210701_MKY4450_05_Cell11_GFP_BS,4.149,3,4.217
20210701_MKY4450_05_Cell12_GFP_BS,4.671,4,4.379
20210701_MKY4450_06_Cell01_GFP_BS,4.702,4,4.713
20210701_MKY4450_06_Cell02_GFP_BS,6.157,5,5.353
20210701_MKY4450_06_Cell03_GFP_BS,3.218,2,3.994
20210701_MKY4450_06_Cell04_GFP_BS,4.352,4,3.752
20210701_MKY4450_06_Cell05_GFP_BS,3.583,3,3.294
20210701_MKY4450_06_Cell06_GFP_BS,3.59,3,3.274
20210701_MKY4450_06_Cell07_GFP_BS,4.16,3,3.896
20210701_MKY4450_06_Cell08_GFP_BS,4.053,3,4.09
20210701_MKY4450_06_Cell09_GFP_BS,3.227,3,3.047
20210701_MKY4450_06_Cell10_GFP_BS,5.109,4,5.784
20210701_MKY4450_06_Cell11_GFP_BS,3.288,3,2.789
20210701_MKY4450_06_Cell12_GFP_BS,5.507,4,6.675
20210701_MKY4450_07_Cell01_GFP_BS,5.146,4,4.114
20210701_MKY4450_07_Cell02_GFP_BS,3.609,3,3.395
20210701_MKY4450_07_Cell03_GFP_BS,3.252,3,2.81
20210701_MKY4450_07_Cell04_GFP_BS,4.862,4,5.401
20210701_MKY4450_07_Cell05_GFP_BS,3.052,3,2.582
20210701_MKY4450_07_Cell06_GFP_BS,3.544,3,3.052
20210701_MKY4450_07_Cell07_GFP_BS,4.958,3,6.567
20210701_MKY4450_07_Cell08_GFP_BS,4.175,4,3.43
20210701_MKY4450_07_Cell09_GFP_BS,3.139,3,3.166
20210701_MKY4450_07_Cell10_GFP_BS,4.798,4,4.537
20210701_MKY4450_07_Cell11_GFP_BS,5.014,4,5.845
20210701_MKY4450_07_Cell12_GFP_BS,5.497,4,5.017
20210701_MKY4450_08_Cell01_GFP_BS,4.78,4,4.376
20210701_MKY4450_08_Cell02_GFP_BS,6.839,5,7.194
20210701_MKY4450_08_Cell03_GFP_BS,4.117,3,4.46
20210701_MKY4450_08_Cell04_GFP_BS,3.107,3,2.665
20210701_MKY4450_08_Cell05_GFP_BS,3.661,3,3.311
20210701_MKY4450_08_Cell06_GFP_BS,4.094,3,5.043
20210701_MKY4450_08_Cell07_GFP_BS,4.36,4,3.877
20210701_MKY4450_08_Cell08_GFP_BS,4.823,4,4.486
20210701_MKY4450_08_Cell09_GFP_BS,6.45,5,8.262
20210701_MKY4450_08_Cell10_GFP_BS,3.679,3,3.029
20210701_MKY4450_08_Cell11_GFP_BS,5.17,4,6.074
20210701_MKY4450_08_Cell12_GFP_BS,3.276,3,2.937
20210701_MKY4450_09_Cell01_GFP_BS,5.289,4,4.513
20210701_MKY4450_09_Cell02_GFP_BS,3.207,3,2.758
20210701_MKY4450_09_Cell03_GFP_BS,4.728,4,3.923
20210701_MKY4450_09_Cell04_GFP_BS,3.554,3,3.117
20210701_MKY4450_09_Cell05_GFP_BS,3.811,3,3.019
20210701_MKY4450_09_Cell06_GFP_BS,3.291,3,2.815
20210701_MKY4450_09_Cell07_GFP_BS,3.495,3,2.954
20210701_MKY4450_09_Cell08_GFP_BS,2.743,2,2.432
20210701_MKY4450_09_Cell09_GFP_BS,4.733,4,4.36
20210701_MKY4450_09_Cell10_GFP_BS,5.794,5,4.749
20210701_MKY4450_09_Cell11_GFP_BS,5.182,4,4.892
20210701_MKY4450_09_Cell12_GFP_BS,5.133,4,4.905
20210701_MKY4450_10_Cell01_GFP_BS,5.405,4,5.779
20210701_MKY4450_10_Cell02_GFP_BS,5.574,4,6.336
20210701_MKY4450_10_Cell03_GFP_BS,5.174,4,4.725
20210701_MKY4450_10_Cell04_GFP_BS,4.066,3,3.49
20210701_MKY4450_10_Cell05_GFP_BS,3.75,3,3.353
20210701_MKY4450_10_Cell06_GFP_BS,4.235,4,3.516
20210701_MKY4450_10_Cell07_GFP_BS,4.083,3,3.692
20210701_MKY4450_10_Cell08_GFP_BS,4.162,3,3.751
20210701_MKY4450_10_Cell09_GFP_BS,5.661,4,5.361
20210701_MKY4450_10_Cell10_GFP_BS,4.368,3,4.666
20210701_MKY4450_10_Cell11_GFP_BS,5.254,4,6.459
20210701_MKY4450_10_Cell12_GFP_BS,2.677,2,2.327
