"strain","stack","window","target","colocalizes","dataset"
"MKY3471","06","x171y141","Syp1","1","2"
"MKY3471","02","x550y911","Syp1","1","2"
"MKY3497","01","x753y731","Myo5","1","2"
"MKY3472","01","x1073y515","Sla2","1","2"
"MKY3472","13","x67y609","Sla2","1","2"
"MKY3487","11","x1195y908","Rvs167","0","2"
"MKY3496","15","x834y845","Pan1","1","2"
"MKY3471","12","x471y20","Syp1","1","2"
"MKY3483","05","x961y984","End3","1","2"
"MKY3483","12","x995y597","End3","1","2"
"MKY3454","13","x1057y936","Ent1","1","2"
"MKY0583","06","x283y95","Abp1","0","2"
"MKY3487","10","x731y348","Rvs167","0","2"
"MKY3471","04","x423y461","Syp1","1","2"
"MKY3485","05","x279y519","Las17","1","2"
"MKY0578","15","x1035y89","Sla1","1","2"
"MKY0583","12","x87y193","Abp1","0","2"
"MKY3485","03","x117y467","Las17","1","2"
"MKY0583","01","x1296y813","Abp1","1","2"
"MKY3454","03","x435y627","Ent1","1","2"
"MKY3454","07","x581y960","Ent1","1","2"
"MKY3454","15","x589y93","Ent1","1","2"
"MKY0578","08","x487y267","Sla1","1","2"
"MKY0583","07","x501y97","Abp1","0","2"
"MKY3485","10","x1287y783","Las17","1","2"
"MKY0578","15","x1229y189","Sla1","1","2"
"MKY3472","01","x87y303","Sla2","1","2"
"MKY0583","02","x1147y431","Abp1","0","2"
"MKY0578","03","x65y409","Sla1","1","2"
"MKY3483","04","x629y900","End3","1","2"
"MKY3454","14","x179y889","Ent1","1","2"
"MKY0583","13","x505y25","Abp1","0","2"
"MKY3454","14","x419y87","Ent1","1","2"
"MKY3472","14","x75y193","Sla2","1","2"
"MKY3483","04","x1304y373","End3","1","2"
"MKY3454","13","x1145y44","Ent1","1","2"
"MKY3472","06","x133y337","Sla2","1","2"
"MKY3497","08","x1087y870","Myo5","0","2"
"MKY3471","01","x561y83","Syp1","1","2"
"MKY3483","09","x1046y342","End3","1","2"
"MKY3487","06","x926y809","Rvs167","0","2"
"MKY0578","01","x298y852","Sla1","1","2"
"MKY0583","11","x869y305","Abp1","0","2"
"MKY3483","07","x1087y106","End3","1","2"
"MKY0578","14","x399y159","Sla1","1","2"
"MKY3454","06","x385y109","Ent1","1","2"
"MKY3485","11","x297y429","Las17","1","2"
"MKY3485","08","x1165y189","Las17","1","2"
"MKY3487","05","x663y10","Rvs167","1","2"
"MKY3472","03","x141y887","Sla2","1","2"
"MKY3471","14","x844y661","Syp1","1","2"
"MKY3471","13","x297y203","Syp1","1","2"
"MKY0578","11","x507y621","Sla1","1","2"
"MKY0583","10","x1287y555","Abp1","0","2"
"MKY3483","12","x425y657","End3","1","2"
"MKY3487","10","x657y682","Rvs167","0","2"
"MKY0583","12","x41y477","Abp1","0","2"
"MKY3496","12","x1219y374","Pan1","1","2"
"MKY3471","05","x503y613","Syp1","1","2"
"MKY3497","07","x1085y357","Myo5","1","2"
"MKY3471","05","x1109y619","Syp1","1","2"
"MKY3483","07","x777y958","End3","1","2"
"MKY3497","07","x157y197","Myo5","1","2"
"MKY3487","14","x1183y117","Rvs167","0","2"
"MKY0583","03","x1101y9","Abp1","0","2"
"MKY0578","14","x497y509","Sla1","1","2"
"MKY3497","08","x161y849","Myo5","0","2"
"MKY0578","05","x367y79","Sla1","1","2"
"MKY3485","01","x351y491","Las17","1","2"
"MKY0583","07","x567y801","Abp1","0","2"
"MKY3471","15","x1111y199","Syp1","1","2"
"MKY3497","08","x711y588","Myo5","1","2"
"MKY3471","12","x841y370","Syp1","1","2"
"MKY0583","10","x799y841","Abp1","0","2"
"MKY0578","01","x630y490","Sla1","1","2"
"MKY3497","14","x1267y157","Myo5","1","2"
"MKY3454","07","x555y84","Ent1","1","2"
"MKY3471","04","x1101y81","Syp1","1","2"
"MKY3471","06","x251y875","Syp1","1","2"
"MKY3483","06","x631y935","End3","1","2"
"MKY3487","01","x1017y117","Rvs167","0","2"
"MKY0583","13","x935y437","Abp1","0","2"
"MKY3472","10","x701y215","Sla2","1","2"
"MKY3472","12","x951y161","Sla2","1","2"
"MKY3487","09","x191y443","Rvs167","0","2"
"MKY0583","05","x903y893","Abp1","0","2"
"MKY0583","01","x1060y43","Abp1","1","2"
"MKY3487","06","x1210y723","Rvs167","0","2"
"MKY3471","13","x157y845","Syp1","1","2"
"MKY3497","12","x353y416","Myo5","0","2"
"MKY3471","10","x861y320","Syp1","1","2"
"MKY0578","10","x855y713","Sla1","1","2"
"MKY3483","06","x1043y87","End3","1","2"
"MKY3496","07","x137y397","Pan1","1","2"
"MKY3487","11","x523y488","Rvs167","0","2"
"MKY0583","04","x389y0","Abp1","0","2"
"MKY3487","15","x1126y459","Rvs167","1","2"
"MKY3471","12","x43y889","Syp1","1","2"
"MKY3485","10","x465y99","Las17","1","2"
"MKY3485","08","x1041y175","Las17","1","2"
"MKY3496","04","x418y459","Pan1","1","2"
"MKY3497","15","x717y303","Myo5","0","2"
"MKY0583","02","x663y701","Abp1","0","2"
"MKY3487","15","x1276y449","Rvs167","0","2"
"MKY3487","11","x463y137","Rvs167","0","2"
"MKY3454","13","x163y821","Ent1","1","2"
"MKY3487","06","x70y797","Rvs167","0","2"
"MKY3497","07","x363y43","Myo5","0","2"
"MKY0578","15","x31y91","Sla1","1","2"
"MKY3471","10","x52y136","Syp1","1","2"
"MKY3496","09","x331y33","Pan1","1","2"
"MKY3483","01","x199y206","End3","1","2"
"MKY3471","10","x1287y328","Syp1","1","2"
"MKY3483","07","x701y980","End3","1","2"
"MKY3454","15","x751y495","Ent1","1","2"
"MKY3497","14","x723y797","Myo5","1","2"
"MKY3471","15","x152y743","Syp1","1","2"
"MKY3496","09","x487y503","Pan1","1","2"
"MKY3487","05","x103y411","Rvs167","0","2"
"MKY0578","13","x487y549","Sla1","1","2"
"MKY3496","05","x355y984","Pan1","1","2"
"MKY3454","01","x415y881","Ent1","1","2"
"MKY3487","13","x1015y181","Rvs167","0","2"
"MKY3471","08","x897y5","Syp1","1","2"
"MKY3454","10","x305y457","Ent1","1","2"
"MKY3497","02","x31y117","Myo5","0","2"
"MKY3454","03","x335y525","Ent1","1","2"
"MKY3485","01","x863y103","Las17","1","2"
"MKY3485","09","x496y513","Las17","1","2"
"MKY3472","12","x545y207","Sla2","1","2"
